id,full_address,street,city,province,postal_code,country,latitude,longitude,address_type,notes,created_at
1,"Gang Pasir Koja No. 71
Sukabumi, Kalimantan Timur 67882",Gg. Laswi No. 175,Bantul,Yogyakarta,46913,Indonesia,,113.12486988418769,Kantor Perwakilan,,2026-01-15 14:25:14.553633+00
2,"Jl. Tebet Barat Dalam No. 07
Makassar, Aceh 07748",Gg. Kebonjati No. 3,Tangerang,Banten,48524,Indonesia,,96.81132804352974,Kantor Pusat,,2026-01-15 14:25:14.553633+00
3,"Gg. Kutai No. 454
Metro, SG 64209",Jl. H.J Maemunah No. 0,Cilegon,Banten,01706,Indonesia,,,Registered Office,,2026-01-15 14:25:14.553633+00
4,"Gg. Kendalsari No. 89
Tanjungpinang, Papua Barat 40453",Gang PHH. Mustofa No. 589,Kediri,Jawa Timur,34316,Indonesia,,,Registered Office,,2026-01-15 14:25:14.553633+00
5,"Jalan Kutisari Selatan No. 157
Bekasi, Kalimantan Selatan 82660",Jl. Sukabumi No. 17,Jakarta Selatan,DKI Jakarta,71386,Indonesia,,117.34366046013503,Kantor Pusat,,2026-01-15 14:25:14.553633+00
6,"Gg. Suniaraja No. 879
Depok, SR 87996",Gang Sadang Serang No. 1,Jakarta Pusat,DKI Jakarta,73325,Indonesia,1.1239987193232999,,Registered Office,,2026-01-15 14:25:14.553633+00
7,"Gg. Tebet Barat Dalam No. 293
Tarakan, BB 90896",Gg. Otto Iskandardinata No. 4,Bandung,Jawa Barat,27439,Indonesia,,,Registered Office,,2026-01-15 14:25:14.553633+00
8,"Gg. Joyoboyo No. 85
Tomohon, KR 62826",Gang Abdul Muis No. 6,Jakarta Barat,DKI Jakarta,93844,Indonesia,-4.204006664637623,,Registered Office,,2026-01-15 14:25:14.553633+00
9,"Gg. Ahmad Yani No. 531
Palembang, MA 93751",Jalan Ciumbuleuit No. 349,Sleman,Yogyakarta,86986,Indonesia,-3.865991366358953,98.07806829268554,Gudang,,2026-01-15 14:25:14.553633+00
10,"Gang Rawamangun No. 8
Solok, Papua 34000",Jl. PHH. Mustofa No. 32,Palembang,Sumatera Selatan,78378,Indonesia,,,Kantor Cabang,,2026-01-15 14:25:14.553633+00
11,"Gg. Merdeka No. 3
Bukittinggi, Jawa Tengah 01329",Jl. Joyoboyo No. 13,Serang,Banten,43511,Indonesia,,,Kantor Pusat,,2026-01-15 14:25:14.553633+00
