id,from_entity_type,from_entity_id,to_entity_type,to_entity_id,relationship_type,pct,effective_from,effective_to,source,confidence,notes,created_at
1,BENEFICIAL_OWNER,1,TAXPAYER,12902,OWNERSHIP,43.21,2024-03-01,,BO Registry,0.78,,2026-01-15 14:25:59.131361+00
2,BENEFICIAL_OWNER,2,TAXPAYER,5257,OWNERSHIP,83.70,2021-03-01,,BO Registry,0.78,,2026-01-15 14:25:59.131361+00
3,BENEFICIAL_OWNER,3,TAXPAYER,8022,OWNERSHIP,40.84,2018-05-01,,BO Registry,0.76,,2026-01-15 14:25:59.131361+00
4,BENEFICIAL_OWNER,4,TAXPAYER,20845,OWNERSHIP,65.98,2021-08-01,,BO Registry,0.81,,2026-01-15 14:25:59.131361+00
5,BENEFICIAL_OWNER,5,TAXPAYER,5715,OWNERSHIP,88.80,2023-02-01,,BO Registry,0.91,,2026-01-15 14:25:59.131361+00
6,BENEFICIAL_OWNER,6,TAXPAYER,5333,OWNERSHIP,16.66,2020-08-01,,BO Registry,0.85,,2026-01-15 14:25:59.131361+00
7,BENEFICIAL_OWNER,7,TAXPAYER,18567,OWNERSHIP,53.04,2018-08-01,,BO Registry,0.91,,2026-01-15 14:25:59.131361+00
8,BENEFICIAL_OWNER,8,TAXPAYER,5585,OWNERSHIP,38.24,2018-11-01,,BO Registry,0.88,,2026-01-15 14:25:59.131361+00
9,BENEFICIAL_OWNER,9,TAXPAYER,28540,OWNERSHIP,29.94,2021-09-01,,BO Registry,0.89,,2026-01-15 14:25:59.131361+00
10,BENEFICIAL_OWNER,10,TAXPAYER,21963,OWNERSHIP,77.40,2024-04-01,,BO Registry,0.95,,2026-01-15 14:25:59.131361+00
11,BENEFICIAL_OWNER,11,TAXPAYER,9065,OWNERSHIP,66.10,2019-09-01,,BO Registry,0.72,,2026-01-15 14:25:59.131361+00
12,BENEFICIAL_OWNER,12,TAXPAYER,6399,OWNERSHIP,75.07,2020-10-01,,BO Registry,0.80,,2026-01-15 14:25:59.131361+00
13,BENEFICIAL_OWNER,13,TAXPAYER,27608,OWNERSHIP,58.81,2022-06-01,,BO Registry,0.88,,2026-01-15 14:25:59.131361+00
14,BENEFICIAL_OWNER,14,TAXPAYER,27017,OWNERSHIP,32.91,2021-07-01,,BO Registry,0.72,,2026-01-15 14:25:59.131361+00
15,BENEFICIAL_OWNER,15,TAXPAYER,4701,OWNERSHIP,50.52,2024-08-01,,BO Registry,0.95,,2026-01-15 14:25:59.131361+00
16,BENEFICIAL_OWNER,16,TAXPAYER,6659,OWNERSHIP,35.79,2022-02-01,,BO Registry,0.98,,2026-01-15 14:25:59.131361+00
17,BENEFICIAL_OWNER,17,TAXPAYER,23131,OWNERSHIP,16.70,2023-02-01,,BO Registry,0.78,,2026-01-15 14:25:59.131361+00
18,BENEFICIAL_OWNER,18,TAXPAYER,21114,OWNERSHIP,50.74,2018-06-01,,BO Registry,0.73,,2026-01-15 14:25:59.131361+00
19,BENEFICIAL_OWNER,19,TAXPAYER,2239,OWNERSHIP,46.62,2023-12-01,,BO Registry,0.77,,2026-01-15 14:25:59.131361+00
20,BENEFICIAL_OWNER,20,TAXPAYER,13253,OWNERSHIP,86.14,2022-11-01,,BO Registry,0.80,,2026-01-15 14:25:59.131361+00
21,BENEFICIAL_OWNER,21,TAXPAYER,12763,OWNERSHIP,32.04,2023-07-01,,BO Registry,0.92,,2026-01-15 14:25:59.131361+00
22,BENEFICIAL_OWNER,22,TAXPAYER,345,OWNERSHIP,54.91,2020-12-01,,BO Registry,0.79,,2026-01-15 14:25:59.131361+00
23,BENEFICIAL_OWNER,23,TAXPAYER,9037,OWNERSHIP,64.91,2020-09-01,,BO Registry,0.87,,2026-01-15 14:25:59.131361+00
24,BENEFICIAL_OWNER,24,TAXPAYER,5456,OWNERSHIP,47.41,2024-08-01,,BO Registry,0.75,,2026-01-15 14:25:59.131361+00
25,BENEFICIAL_OWNER,25,TAXPAYER,16187,OWNERSHIP,18.31,2019-04-01,,BO Registry,0.81,,2026-01-15 14:25:59.131361+00
26,BENEFICIAL_OWNER,26,TAXPAYER,11591,OWNERSHIP,27.13,2021-12-01,,BO Registry,0.77,,2026-01-15 14:25:59.131361+00
27,BENEFICIAL_OWNER,27,TAXPAYER,19690,OWNERSHIP,71.28,2024-04-01,,BO Registry,0.76,,2026-01-15 14:25:59.131361+00
28,BENEFICIAL_OWNER,28,TAXPAYER,29450,OWNERSHIP,6.34,2020-12-01,,BO Registry,0.99,,2026-01-15 14:25:59.131361+00
29,BENEFICIAL_OWNER,29,TAXPAYER,27672,OWNERSHIP,29.16,2024-12-01,,BO Registry,0.86,,2026-01-15 14:25:59.131361+00
30,BENEFICIAL_OWNER,30,TAXPAYER,24409,OWNERSHIP,73.88,2020-04-01,,BO Registry,0.89,,2026-01-15 14:25:59.131361+00
31,BENEFICIAL_OWNER,31,TAXPAYER,1745,OWNERSHIP,57.42,2023-12-01,,BO Registry,0.71,,2026-01-15 14:25:59.131361+00
32,BENEFICIAL_OWNER,32,TAXPAYER,3813,OWNERSHIP,40.55,2022-08-01,,BO Registry,0.84,,2026-01-15 14:25:59.131361+00
33,BENEFICIAL_OWNER,33,TAXPAYER,29308,OWNERSHIP,71.67,2019-11-01,,BO Registry,0.78,,2026-01-15 14:25:59.131361+00
34,BENEFICIAL_OWNER,34,TAXPAYER,26491,OWNERSHIP,33.04,2022-09-01,,BO Registry,0.75,,2026-01-15 14:25:59.131361+00
35,BENEFICIAL_OWNER,35,TAXPAYER,26928,OWNERSHIP,57.73,2019-07-01,,BO Registry,0.96,,2026-01-15 14:25:59.131361+00
36,BENEFICIAL_OWNER,36,TAXPAYER,4213,OWNERSHIP,51.05,2023-09-01,,BO Registry,0.89,,2026-01-15 14:25:59.131361+00
37,BENEFICIAL_OWNER,37,TAXPAYER,6271,OWNERSHIP,61.38,2018-05-01,,BO Registry,0.85,,2026-01-15 14:25:59.131361+00
