id,npwp_masked,name,entity_type,address,status,extra_metadata,created_at
1,10.000.***.***-***.100,UD Cendana Global Bersama,UD,"Gg. Jayawijaya No. 143
Dumai, Jawa Tengah 99112",Aktif,"{""sector"": ""Manufaktur""}",2026-01-15 14:24:12.231498+00
2,11.000.***.***-***.100,Firma Berkah Terpadu Jaya,PT,"Gg. K.H. Wahid Hasyim No. 6
Gorontalo, Kepulauan Riau 15900",Aktif,"{""sector"": ""Energi""}",2026-01-15 14:24:12.231498+00
3,12.000.***.***-***.100,Perum Elang Intan,CV,"Gang Lembong No. 33
Langsa, JB 14520",Dalam Pemeriksaan,"{""sector"": ""Telekomunikasi""}",2026-01-15 14:24:12.231498+00
4,13.000.***.***-***.100,PT Terpadu Cipta Makmur,UD,"Gang Dr. Djunjunan No. 9
Tasikmalaya, DKI Jakarta 98914",Aktif,"{""sector"": ""Konstruksi""}",2026-01-15 14:24:12.231498+00
5,14.000.***.***-***.100,PT Elang Nusantara Global,UD,"Gg. Sukajadi No. 031
Batu, Sulawesi Tenggara 09491",Aktif,"{""sector"": ""Agrikultur""}",2026-01-15 14:24:12.231498+00
6,15.000.***.***-***.100,UD Usaha Gemilang Elang,PT Tbk,"Gang W.R. Supratman No. 867
Serang, GO 04522",Non-Aktif,"{""sector"": ""Perdagangan""}",2026-01-15 14:24:12.231498+00
7,16.000.***.***-***.100,PT Terpadu Sejahtera Mega,CV,"Gg. PHH. Mustofa No. 8
Probolinggo, KR 29697",Aktif,"{""sector"": ""Pendidikan""}",2026-01-15 14:24:12.231498+00
8,17.000.***.***-***.100,PT Tbk Mitra Terpadu Mandiri,PT,"Gang Cempaka No. 80
Samarinda, Sulawesi Selatan 66677",Aktif,"{""sector"": ""Agrikultur""}",2026-01-15 14:24:12.231498+00
9,18.000.***.***-***.100,UD Indo Sejahtera,PT Tbk,"Gg. Jayawijaya No. 98
Pekalongan, Jawa Barat 27917",Aktif,"{""sector"": ""Perdagangan""}",2026-01-15 14:24:12.231498+00
10,19.000.***.***-***.100,Perum Garuda Astra Abadi,PT Tbk,"Jl. H.J Maemunah No. 536
Tasikmalaya, RI 71798",Aktif,"{""sector"": ""Retail""}",2026-01-15 14:24:12.231498+00
11,20.000.***.***-***.100,UD Sejahtera Buana,PT,"Jl. Antapani Lama No. 9
Palopo, Sumatera Barat 53160",Non-Aktif,"{""sector"": ""Teknologi""}",2026-01-15 14:24:12.231498+00
12,21.000.***.***-***.100,UD Gemilang Usaha,CV,"Jl. Tubagus Ismail No. 48
Mataram, Kalimantan Selatan 97435",Aktif,"{""sector"": ""Pariwisata""}",2026-01-15 14:24:12.231498+00
13,22.000.***.***-***.100,PT Berlian Jaya,Firma,"Jl. Dipenogoro No. 9
Sukabumi, Sumatera Utara 55962",Aktif,"{""sector"": ""Teknologi""}",2026-01-15 14:24:12.231498+00
14,23.000.***.***-***.100,UD Permata Pusaka,PT Tbk,"Gg. Laswi No. 72
Kota Administrasi Jakarta Pusat, BT 37869",Aktif,"{""sector"": ""Energi""}",2026-01-15 14:24:12.231498+00
15,24.000.***.***-***.100,UD Sentosa Merak,PT Tbk,"Gang Rungkut Industri No. 58
Parepare, KR 76568",Aktif,"{""sector"": ""Konstruksi""}",2026-01-15 14:24:12.231498+00
16,25.000.***.***-***.100,Perum Terpadu Gemilang Bersama,CV,"Gang HOS. Cokroaminoto No. 09
Sorong, RI 45255",Aktif,"{""sector"": ""Konstruksi""}",2026-01-15 14:24:12.231498+00
